{CODIGO=POSRANGP, NOMBRE=CONTIENE EL NUMERO FINAL PARA EL RANGO DE CONSULTAS PAGINADAS., TIPO=N, VALOR=50, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:13:27.0, APLICACION=6, VERSION=0}
{CODIGO=INSCVSPP, NOMBRE=INSERTAR EN CONSOLIDADOVENTASERVICIOS AL PAGAR UN PREMIO POR PTO VTA, S = INSERTA / N = NO INSERTA., TIPO=A, VALOR=S, LOGIN=GAMBLE, FECHAUPD=2021-11-09 16:24:16.0, APLICACION=6, VERSION=0}
{CODIGO=TXTFID1, NOMBRE=TEXTO #1 (ENCABEZADO) A IMPRIMIR EN BOLETAS DE RIFAS DE FIDELIZACION, TIPO=A, VALOR=MENSAJE PRUEBA UNO, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:13:28.0, APLICACION=1, VERSION=0}
{CODIGO=TXTFID2, NOMBRE=TEXTO #2 (PIE DE PAGINA) A IMPRIMIR EN BOLETAS DE RIFAS DE FIDELIZACION, TIPO=A, VALOR=MENSAJE PRUEBA?, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:13:28.0, APLICACION=1, VERSION=0}
{CODIGO=VALPAGCV, NOMBRE=VALIDA PAGO DE PREMIOS DE VENDEDORES UTILIZANDO REGLA DE IDEAR, (S) PAGA CON CV - (N) PAGA CON CP., TIPO=A, VALOR=S, LOGIN=GAMBLE, FECHAUPD=2022-11-15 12:17:41.0, APLICACION=6, VERSION=0}
{CODIGO=VLDFTOTL, NOMBRE=Indica si valida la diferencia del total pagado y apostado del formulario [S|N], TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:13:32.0, APLICACION=5, VERSION=0}
{CODIGO=OFUFRMID, NOMBRE=PERMITE DETERMINAR SI SE OFUSCA O NO EL FRMID S=OFUSCA N=NO OFUSCA, TIPO=A, VALOR=S, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:13:32.0, APLICACION=5, VERSION=0}
{CODIGO=NVTRASNS, NOMBRE= DETERMINA SI UTILIZA LA NUEVA TRAMA SIVICAL DE GRUPOS POR DETALLE (S/N), TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:41.0, APLICACION=5, VERSION=0}
{CODIGO=VALCAJTE, NOMBRE=VALIDA EL SALDO DE LA CAJA EN TESORERIA PARA CAMBIO DE HORARIO, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:46.0, APLICACION=5, VERSION=0}
{CODIGO=INTRVTA, NOMBRE=INGRESO Y CONSULTA DE FORMULARIOS PROMOCION O VALOR 0 EN TRAMASVENTAS, TIPO=A, VALOR=N,N, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:46.0, APLICACION=5, VERSION=0}
{CODIGO=VALILOTE, NOMBRE=PARAMETRO ENCARGADO DE VALIDAR SI SE ACTIVA EL NUEVO FORMATO DE IMPRESION DE LOTERIA VRTUAL (S,N), TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:46.0, APLICACION=5, VERSION=0}
